sequence,tracker,runtime_seconds,observation_count,kept_observation_count,covered_observation_count,rejected_observation_count,pair_true_positive,pair_false_positive,pair_false_negative,pairwise_precision,pairwise_recall,pairwise_f1,emitted_track_count,scored_partition_count,contaminated_track_count,contaminated_observation_count,gold_identity_count,fragmented_identity_count,fragmentation_excess,exact_partition,gold_discard_count,rejection_true_positive,rejection_false_positive,rejection_false_negative,rejection_precision,rejection_recall,rejection_f1
2025_07_17_C_OC_F_001,boxmot_oc_sort,0.23617610000655986,597,597,592,5,55578,0,3825,1.0,0.9356093126609767,0.9667336342526157,4,9,0,0,3,1,6,False,0,0,5,0,0.0,1.0,0.0
2025_07_17_C_OC_F_001,boxmot_bot_sort_gmc_no_reid,6.983902900014073,597,597,597,0,59403,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_C_OC_F_001,production_preprocessor_ilp,4.067885500000557,597,597,597,0,59403,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_F_OC_B_001,boxmot_oc_sort,0.04668130000936799,177,177,172,5,6226,0,1650,1.0,0.7905027932960894,0.8829953198127926,3,8,0,0,2,1,6,False,0,0,5,0,0.0,1.0,0.0
2025_07_17_F_OC_B_001,boxmot_bot_sort_gmc_no_reid,3.06426189999911,177,177,177,0,4075,3759,3801,0.5201684962981874,0.5173946165566278,0.5187778485041376,2,2,2,177,2,2,2,False,0,0,0,0,1.0,1.0,1.0
2025_07_17_F_OC_B_001,production_preprocessor_ilp,1.8944203999999445,177,177,177,0,7876,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_F_OC_B_002,boxmot_oc_sort,0.03172299999278039,109,109,101,8,2572,0,434,1.0,0.8556220891550232,0.9221943348870563,2,10,0,0,2,2,8,False,0,0,8,0,0.0,1.0,0.0
2025_07_17_F_OC_B_002,boxmot_bot_sort_gmc_no_reid,2.7196543000172824,109,109,107,2,2613,0,393,1.0,0.8692614770459082,0.9300587293112653,3,5,0,0,2,1,3,False,0,0,2,0,0.0,1.0,0.0
2025_07_17_F_OC_B_002,production_preprocessor_ilp,1.4067711000097916,109,109,109,0,3006,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_F_OC_B_003,boxmot_oc_sort,0.033130700001493096,132,132,129,3,3609,0,730,1.0,0.8317584696934778,0.9081529944640162,3,6,0,0,2,1,4,False,0,0,3,0,0.0,1.0,0.0
2025_07_17_F_OC_B_003,boxmot_bot_sort_gmc_no_reid,1.8831529000017326,132,132,132,0,4339,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_F_OC_B_003,production_preprocessor_ilp,1.3003517000179272,132,132,132,0,4339,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_S_OC_C-C_OOF_001,boxmot_oc_sort,0.06507350000902079,153,153,123,30,1226,0,4706,1.0,0.2066756574511126,0.34255378597373565,7,37,0,0,2,2,35,False,0,0,30,0,0.0,1.0,0.0
2025_07_17_S_OC_C-C_OOF_001,boxmot_bot_sort_gmc_no_reid,3.3004432000161614,153,153,145,8,2815,126,3117,0.9571574294457668,0.47454484153742416,0.6345091851684886,4,12,2,95,2,2,12,False,0,0,8,0,0.0,1.0,0.0
2025_07_17_S_OC_C-C_OOF_001,production_preprocessor_ilp,1.9242480999964755,153,153,153,0,5932,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_S_OC_F_001,boxmot_oc_sort,0.19453300000168383,834,834,822,12,102549,0,16339,1.0,0.8625681313505148,0.9262137763788346,6,18,0,0,3,2,15,False,0,0,12,0,0.0,1.0,0.0
2025_07_17_S_OC_F_001,boxmot_bot_sort_gmc_no_reid,9.92343689998961,834,834,828,6,103182,0,15706,1.0,0.8678924702240765,0.9292745530688522,6,12,0,0,3,2,9,False,0,0,6,0,0.0,1.0,0.0
2025_07_17_S_OC_F_001,production_preprocessor_ilp,6.054133300000103,834,834,834,0,118888,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_S_OC_F_002,boxmot_oc_sort,0.01953190000494942,92,92,90,2,1317,0,57,1.0,0.9585152838427947,0.9788182831661092,3,5,0,0,3,1,2,False,0,0,2,0,0.0,1.0,0.0
2025_07_17_S_OC_F_002,boxmot_bot_sort_gmc_no_reid,1.0127978999807965,92,92,92,0,1374,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_S_OC_F_002,production_preprocessor_ilp,0.7243657000071835,92,92,92,0,1374,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_S_OC_F_003,boxmot_oc_sort,0.034430300001986325,142,142,140,2,4894,0,125,1.0,0.9750946403666069,0.9873902955714718,2,4,0,0,2,1,2,False,0,0,2,0,0.0,1.0,0.0
2025_07_17_S_OC_F_003,boxmot_bot_sort_gmc_no_reid,2.658866500016302,142,142,141,1,4174,0,845,1.0,0.8316397688782626,0.9080822364842815,3,4,0,0,2,1,2,False,0,0,1,0,0.0,1.0,0.0
2025_07_17_S_OC_F_003,production_preprocessor_ilp,1.3450135000166483,142,142,142,0,5019,0,0,1.0,1.0,1.0,2,2,0,0,2,0,0,True,0,0,0,0,1.0,1.0,1.0
2025_07_17_W_OC_B_001,boxmot_oc_sort,0.04998209999757819,200,197,195,2,9619,0,167,1.0,0.9829348048232168,0.9913939706261273,2,4,0,0,2,1,2,False,3,3,2,0,0.6,1.0,0.7499999999999999
2025_07_17_W_OC_B_001,boxmot_bot_sort_gmc_no_reid,2.7153876000083983,200,197,196,1,7942,0,1844,1.0,0.8115675454731248,0.8959837545126353,3,4,0,0,2,1,2,False,3,3,1,0,0.75,1.0,0.8571428571428571
