epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.275,1.08128,2.22856,0.98443,0.0037,0.90909,0.48327,0.33446,0.87411,3.33477,0.88196,0.00058,0.00058,0.00058
2,269.957,1.09381,1.61782,1.03254,0.27718,0.18182,0.16156,0.08925,1.36541,3.55834,1.15379,0.00116832,0.00116832,0.00116832
3,377.702,1.10003,1.37021,1.04274,0.50082,0.36364,0.48455,0.24559,1.43383,2.82717,1.1475,0.00174476,0.00174476,0.00174476
4,487.169,1.07544,1.26659,1.03328,0.84966,0.63636,0.73967,0.51292,1.18858,2.02758,1.0206,0.0019406,0.0019406,0.0019406
5,596.945,1.06725,1.15822,1.03582,1,0.6171,0.6668,0.46165,1.04787,2.36579,0.96134,0.0019208,0.0019208,0.0019208
6,706.448,1.02238,1.00968,1.01565,0.694,0.72727,0.71805,0.50538,1.31869,1.54935,1.15195,0.001901,0.001901,0.001901
7,816.072,0.99895,0.94185,1.00481,0.96729,0.81818,0.86296,0.60846,1.07098,1.04941,0.99834,0.0018812,0.0018812,0.0018812
8,924.889,0.98809,0.86504,0.9938,0.88777,0.81818,0.85348,0.5984,1.21729,1.26277,1.10388,0.0018614,0.0018614,0.0018614
9,1034.13,0.96883,0.78793,0.98258,0.97011,0.72727,0.79549,0.61869,1.08852,1.35871,1.03005,0.0018416,0.0018416,0.0018416
10,1143.33,0.98283,0.79301,0.99411,0.97559,0.72727,0.87915,0.62093,1.14362,1.174,1.10034,0.0018218,0.0018218,0.0018218
11,1249.86,0.95448,0.75081,0.97403,0.90886,0.90681,0.89854,0.61146,1.10262,0.92688,1.04145,0.001802,0.001802,0.001802
12,1357.79,0.93067,0.71446,0.97487,0.8769,0.81818,0.8725,0.5819,1.20955,1.0595,1.00695,0.0017822,0.0017822,0.0017822
13,1466.31,0.90321,0.67145,0.96036,1,0.8984,0.927,0.67708,1.03058,0.82597,1.02029,0.0017624,0.0017624,0.0017624
14,1575.39,0.93861,0.69038,0.97855,0.90732,0.89137,0.89807,0.63203,1.04667,0.81392,0.95471,0.0017426,0.0017426,0.0017426
15,1684.18,0.88728,0.65259,0.95145,1,0.80746,0.89237,0.64513,0.97181,0.86257,0.92836,0.0017228,0.0017228,0.0017228
