epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8521,0.97098,1.67392,0.99029,0.02358,0.71429,0.02029,0.01388,1.08766,68.9133,1.19989,0.000651852,0.000651852,0.000651852
2,32.5455,1.09421,1.07244,1.09279,0,0,0,0,5.11183,inf,68.5539,0.00130547,0.00130547,0.00130547
3,41.6544,1.2041,1.05045,1.15686,0.42993,0.57143,0.52084,0.33061,1.29392,14.0277,1.37609,0.00194588,0.00194588,0.00194588
4,50.4373,1.15189,0.9572,1.12486,0.03385,0.38095,0.02516,0.0143,1.72155,25.8254,1.94519,0.0019406,0.0019406,0.0019406
5,58.9266,1.05238,0.79488,1.08881,0.75636,0.83333,0.77801,0.54036,0.96894,2.02653,1.01056,0.0019208,0.0019208,0.0019208
6,67.9402,1.01607,0.79517,1.07841,0.92546,0.95238,0.96102,0.70404,0.92791,1.13757,1.0154,0.001901,0.001901,0.001901
7,76.8918,1.05406,0.76216,1.08802,0.09381,0.04762,0.00711,0.0046,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,85.7479,0.95854,0.71732,1.03483,0.8887,0.78571,0.84377,0.64975,1.06685,1.06628,1.09933,0.0018614,0.0018614,0.0018614
9,94.3458,0.90401,0.65441,1.01433,0.92242,0.92857,0.98045,0.78869,0.8533,0.69754,0.93194,0.0018416,0.0018416,0.0018416
10,102.902,0.86656,0.62551,1.01173,0.9278,0.918,0.96824,0.7592,0.79097,0.59582,0.89881,0.0018218,0.0018218,0.0018218
11,111.516,0.87167,0.63374,1.00088,0.8911,0.85714,0.93776,0.77666,0.71634,1.24679,0.86032,0.001802,0.001802,0.001802
12,119.903,0.8589,0.63673,0.99937,0.78651,0.61414,0.67974,0.52578,0.85453,1.59204,0.95409,0.0017822,0.0017822,0.0017822
13,128.299,0.78816,0.57913,0.97804,1,0.96196,0.99214,0.8074,0.74128,0.49301,0.8651,0.0017624,0.0017624,0.0017624
14,136.825,0.79637,0.54338,0.96043,0.97609,0.97195,0.97648,0.80411,0.76497,0.60852,0.86429,0.0017426,0.0017426,0.0017426
15,145.538,0.80225,0.55166,0.99258,0.94527,0.95238,0.97942,0.80855,0.71779,0.48362,0.85515,0.0017228,0.0017228,0.0017228
16,154.014,0.79181,0.52655,0.96669,0.97549,0.90476,0.98252,0.80517,0.75049,0.49776,0.86794,0.001703,0.001703,0.001703
17,162.519,0.7841,0.54333,0.96335,0.9974,0.92857,0.96649,0.79618,0.71126,0.54854,0.8542,0.0016832,0.0016832,0.0016832
18,173.927,0.79776,0.54102,0.96333,0.9758,0.92857,0.98613,0.79545,0.73246,0.53164,0.85161,0.0016634,0.0016634,0.0016634
19,183.365,0.77874,0.52083,0.96981,0.94261,0.95238,0.96943,0.82589,0.73953,0.68797,0.87747,0.0016436,0.0016436,0.0016436
20,191.965,0.78653,0.53928,0.96778,0.96809,0.97619,0.98775,0.83522,0.6045,0.51621,0.83008,0.0016238,0.0016238,0.0016238
21,201.477,0.71623,0.48734,0.93788,1,0.97306,0.99409,0.81894,0.66587,0.48962,0.83691,0.001604,0.001604,0.001604
22,211.006,0.73106,0.49745,0.94619,0.91288,0.99796,0.989,0.80949,0.71139,0.48625,0.85617,0.0015842,0.0015842,0.0015842
23,220.187,0.74523,0.51814,0.94781,0.94773,0.88095,0.96256,0.81448,0.66333,0.51626,0.8305,0.0015644,0.0015644,0.0015644
24,228.716,0.74096,0.52996,0.94059,0.93312,0.99669,0.98995,0.82062,0.67416,0.48237,0.82655,0.0015446,0.0015446,0.0015446
25,237.768,0.72278,0.49833,0.93308,0.95184,0.97619,0.99073,0.83389,0.61437,0.47073,0.8178,0.0015248,0.0015248,0.0015248
26,246.517,0.67666,0.46572,0.91309,0.97617,0.97521,0.99207,0.86228,0.54077,0.40256,0.80256,0.001505,0.001505,0.001505
27,256.817,0.676,0.45574,0.90698,0.95011,1,0.99025,0.83738,0.59398,0.42453,0.81521,0.0014852,0.0014852,0.0014852
28,265.4,0.69502,0.47607,0.92996,0.95258,0.95674,0.99094,0.84559,0.69841,0.52475,0.84888,0.0014654,0.0014654,0.0014654
29,274.102,0.7061,0.47232,0.92954,0.95429,0.99429,0.99091,0.82896,0.63409,0.42872,0.81308,0.0014456,0.0014456,0.0014456
30,282.535,0.67888,0.45254,0.92169,0.95443,1,0.99242,0.86279,0.58678,0.45585,0.81286,0.0014258,0.0014258,0.0014258
31,291.172,0.68131,0.44948,0.92884,0.9534,0.97439,0.98907,0.83321,0.6487,0.50696,0.83951,0.001406,0.001406,0.001406
32,299.653,0.68187,0.4519,0.92354,0.96968,0.97619,0.99361,0.84472,0.62804,0.41948,0.82046,0.0013862,0.0013862,0.0013862
33,308.341,0.66494,0.44367,0.923,0.92266,1,0.9877,0.84841,0.63215,0.4836,0.81926,0.0013664,0.0013664,0.0013664
