# hard_windows_v1
# video_path	start_frame	end_frame	peak_frame	score	notes
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	0	12	2	23.639759	track=1,boom=6.7,tip=56.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	29	49	39	14.370578	track=1,boom=9.2,tip=1.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	51	71	61	20.816676	track=1,boom=3.6,tip=32.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	91	111	101	20.869996	track=1,boom=13.0,tip=43.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	126	146	136	18.166267	track=1,boom=11.2,tip=12.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	148	168	158	19.336561	track=1,boom=8.0,tip=13.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	169	189	179	13.450020	track=1,boom=6.4,tip=7.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	202	222	212	18.422451	track=1,boom=0.0,tip=10.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	238	258	248	15.011213	track=1,boom=2.2,tip=24.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	270	290	280	12.271686	track=1,boom=2.2,tip=3.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	293	313	303	14.755651	track=1,boom=10.6,tip=12.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	315	335	325	9.986031	track=1,boom=4.0,tip=4.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	337	357	347	13.605524	track=1,boom=5.0,tip=14.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	368	388	378	8.326941	track=1,boom=8.0,tip=4.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	394	414	404	10.085794	track=1,boom=3.2,tip=13.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030748.mov	418	438	428	12.251384	track=1,boom=7.2,tip=14.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	51	71	61	12.215190	track=1,boom=9.5,tip=7.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	91	111	101	10.207025	track=1,boom=7.8,tip=12.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	124	144	134	13.773392	track=2,boom=13.6,tip=10.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	155	175	165	11.000069	track=1,boom=2.2,tip=3.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	178	198	188	14.713671	track=1,boom=1.0,tip=2.8
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	200	220	210	30.567164	track=2,boom=3.6,tip=5.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	231	251	241	10.632282	track=2,boom=1.4,tip=9.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	252	272	262	15.697356	track=2,boom=15.2,tip=2.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	290	310	300	11.794417	track=1,boom=9.1,tip=5.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	311	331	321	21.206792	track=1,boom=6.4,tip=15.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	350	370	360	22.139663	track=1,boom=7.1,tip=19.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	373	393	383	17.380072	track=1,boom=9.1,tip=5.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	403	423	413	17.148028	track=1,boom=18.0,tip=3.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	432	452	442	25.894241	track=1,boom=2.8,tip=4.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	463	483	473	25.663664	track=1,boom=17.5,tip=28.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	493	513	503	20.887774	track=1,boom=1.4,tip=8.5
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	517	537	527	25.076695	track=1,boom=9.5,tip=33.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (1)/iCloud Photos from Kasper Thrane/P1030751.mov	543	563	553	32.680246	track=1,boom=3.2,tip=26.6
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760205861053.MP4	118	138	128	20.478894	track=1,boom=10.0,tip=16.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760205861053.MP4	141	161	151	13.593871	track=1,boom=10.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760205861053.MP4	173	193	183	18.069460	track=1,boom=6.3,tip=14.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	180	200	190	9.297303	track=1,boom=4.5,tip=14.9
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	220	240	230	18.649869	track=1,boom=12.7,tip=27.2
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	241	261	251	32.832265	track=1,boom=17.7
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	267	287	277	11.046924	track=1,boom=19.4
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	301	321	311	14.700407	track=1,boom=2.2,tip=6.3
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	325	345	335	21.592232	track=1,boom=8.2,tip=8.1
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	346	366	356	10.326145	track=1,boom=3.6,tip=9.0
C:/Users/berti/Downloads/training videos from kasper/iCloud Photos from Kasper Thrane (3)/iCloud Photos from Kasper Thrane/1760206020097.MP4	384	404	394	12.869860	track=1,boom=6.1,tip=11.0
