epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.448,0.90923,0.61043,0.41369,0.96713,1.01682,0.97615,0.99821,0.99357,0.84294,0.97615,0.99821,0.99357,0.98514,0.63392,0.14038,0.07979,0.42922,0.87334,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,173.692,0.84309,0.19347,0.19481,0.61895,0.94393,0.96268,0.97561,0.98759,0.80559,0.97218,0.9878,0.98794,0.98426,0.69819,0.14907,0.04028,0.75669,0.90136,0.0199329,0.00664429,0.0199329,0.00664429,0.0199329,0.00664429,0.0199329,0.00664429
3,235.779,0.93597,0.18515,0.15778,0.69763,0.98322,0.89412,0.92684,0.94745,0.74106,0.89412,0.92684,0.94783,0.9398,0.8306,0.10306,0.02791,1.22104,0.95454,0.0298763,0.00995878,0.0298763,0.00995878,0.0298763,0.00995878,0.0298763,0.00995878
4,296.888,0.94882,0.18195,0.15135,0.7205,1.00181,0.97005,0.9878,0.99109,0.79181,0.97005,0.9878,0.99109,0.99109,0.77835,0.07291,0.02438,0.60172,0.94566,0.0298727,0.00995757,0.0298727,0.00995757,0.0298727,0.00995757,0.0298727,0.00995757
5,357.651,0.92056,0.16039,0.16205,0.64478,1.0081,0.952,0.96749,0.983,0.81165,0.952,0.96749,0.98565,0.97525,0.73443,0.12476,0.02726,0.51729,0.95122,0.0298303,0.00994343,0.0298303,0.00994343,0.0298303,0.00994343,0.0298303,0.00994343
6,418.681,0.8859,0.14543,0.14499,0.60333,0.9969,0.98755,0.96341,0.98418,0.83647,0.98755,0.96341,0.98489,0.97835,0.65961,0.08302,0.02501,0.49353,0.91275,0.0297879,0.00992929,0.0297879,0.00992929,0.0297879,0.00992929,0.0297879,0.00992929
7,479.856,0.87154,0.12852,0.13886,0.59011,0.98809,0.97323,0.97561,0.9873,0.81933,0.97323,0.97561,0.98962,0.98777,0.65984,0.06025,0.0188,0.47739,0.91219,0.0297454,0.00991514,0.0297454,0.00991514,0.0297454,0.00991514,0.0297454,0.00991514
8,540.682,0.83994,0.11592,0.13414,0.57088,0.97143,0.96625,0.9878,0.99296,0.83428,0.96625,0.9878,0.99296,0.985,0.6686,0.07366,0.01397,0.50818,0.88721,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
9,601.591,0.82008,0.11783,0.13429,0.55368,0.9721,0.98407,0.95122,0.98665,0.84371,0.98407,0.95122,0.98665,0.9834,0.64801,0.07171,0.01907,0.44821,0.88688,0.0296606,0.00988686,0.0296606,0.00988686,0.0296606,0.00988686,0.0296606,0.00988686
10,662.449,0.79317,0.10868,0.12696,0.53601,0.96346,0.98273,0.96341,0.99334,0.85256,0.95348,0.99988,0.99345,0.99139,0.59575,0.07028,0.02156,0.44103,0.89695,0.0296181,0.00987271,0.0296181,0.00987271,0.0296181,0.00987271,0.0296181,0.00987271
11,723.53,0.7738,0.11048,0.13035,0.51506,0.96078,0.99626,0.96341,0.99018,0.85101,0.99626,0.96341,0.99018,0.98386,0.60258,0.08699,0.02189,0.41017,0.89364,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
12,784.214,0.77365,0.10376,0.12234,0.50908,0.95891,0.98584,0.9878,0.98881,0.87377,0.98584,0.9878,0.99071,0.98558,0.5799,0.05598,0.03433,0.40805,0.88873,0.0295333,0.00984443,0.0295333,0.00984443,0.0295333,0.00984443,0.0295333,0.00984443
13,845.178,0.74818,0.09159,0.11372,0.49946,0.94751,0.95209,0.9694,0.98141,0.84862,0.95209,0.9694,0.98141,0.98015,0.62258,0.06963,0.01328,0.42676,0.89153,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029
14,905.808,0.72451,0.08949,0.11357,0.47912,0.92851,0.98478,0.97561,0.99375,0.88431,0.98478,0.97561,0.99375,0.98972,0.58059,0.0535,0.01221,0.38416,0.87006,0.0294484,0.00981614,0.0294484,0.00981614,0.0294484,0.00981614,0.0294484,0.00981614
15,966.826,0.73198,0.08511,0.10935,0.47618,0.93937,0.99943,0.97561,0.99367,0.86792,0.99943,0.97561,0.99418,0.99292,0.53761,0.05816,0.01285,0.37271,0.86798,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
16,1027.76,0.72424,0.08684,0.1051,0.47274,0.93136,1,0.98632,0.99443,0.88854,1,0.98632,0.99443,0.99048,0.54864,0.05657,0.01875,0.37128,0.86371,0.0293636,0.00978786,0.0293636,0.00978786,0.0293636,0.00978786,0.0293636,0.00978786
17,1088.6,0.7132,0.08252,0.10547,0.46505,0.92617,0.98752,0.96487,0.99373,0.88879,0.98752,0.96487,0.99373,0.98788,0.53172,0.08575,0.02516,0.35997,0.85781,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371
