epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.862,1.08964,2.41262,1.0001,0.00476,1,0.66338,0.49146,0.70803,2.96217,0.8672,0.00044,0.00044,0.00044
2,229.727,1.07251,1.52087,1.01059,0.00476,1,0.53459,0.31335,0.86907,2.9129,0.93401,0.00088218,0.00088218,0.00088218
3,351.415,1.02912,1.39687,0.99918,0.64365,0.72406,0.64155,0.42772,0.88304,2.20175,1.04996,0.00130614,0.00130614,0.00130614
4,434.013,1.03042,1.24628,1.02079,0.59854,0.8,0.565,0.39882,0.93885,1.84733,1.09618,0.00171189,0.00171189,0.00171189
5,518.823,1.04005,1.1998,1.02052,0.97897,0.8,0.91185,0.63057,0.90274,1.44064,1.03454,0.0018416,0.0018416,0.0018416
6,605.105,0.98471,1.06633,0.98549,0.89864,0.9,0.95833,0.7512,0.88285,1.09897,1.02602,0.001802,0.001802,0.001802
7,688.028,1.01349,1.02834,0.99852,0.78096,0.9,0.9003,0.60742,1.01425,1.63185,1.01527,0.0017624,0.0017624,0.0017624
8,771.692,0.95869,0.93756,0.98171,0.99385,1,0.995,0.70724,0.96922,0.9035,1.07431,0.0017228,0.0017228,0.0017228
9,857.211,0.9738,0.92344,0.98706,1,0.99249,0.995,0.81546,0.77416,0.71672,0.93596,0.0016832,0.0016832,0.0016832
10,940.937,0.93797,0.8409,0.97295,0.98657,1,0.995,0.80999,0.72465,0.71399,0.89663,0.0016436,0.0016436,0.0016436
11,1024.88,0.95054,0.78899,0.97645,0.75022,1,0.95374,0.75741,0.67391,0.82881,0.89754,0.001604,0.001604,0.001604
12,1109.08,0.96118,0.78851,0.98982,0.90893,0.99821,0.98591,0.83276,0.63423,0.78043,0.89393,0.0015644,0.0015644,0.0015644
13,1192.67,0.88612,0.73257,0.94962,0.98792,1,0.995,0.83916,0.64635,0.63174,0.90768,0.0015248,0.0015248,0.0015248
14,1275.2,0.89808,0.72344,0.95888,0.90286,1,0.96773,0.78235,0.73306,0.58815,0.89831,0.0014852,0.0014852,0.0014852
