epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.1624,1.08964,2.41262,1.0001,0.00476,1,0.66338,0.49146,0.70803,2.96217,0.8672,0.00044,0.00044,0.00044
2,187.463,1.07902,1.52918,1.01511,0.00476,1,0.44827,0.29681,0.7597,2.91294,0.95883,0.00085545,0.00085545,0.00085545
3,308.567,1.03702,1.40714,0.99968,1,0.28744,0.90763,0.66704,0.86796,2.38984,0.95054,0.00122536,0.00122536,0.00122536
4,404.55,0.98324,1.22144,1.00381,0.27695,0.7,0.37838,0.27213,0.91115,2.24513,1.13405,0.00154973,0.00154973,0.00154973
5,530.253,0.95444,1.1353,0.98373,0.58101,0.6,0.63569,0.44424,0.99422,2.75141,1.04677,0.001604,0.001604,0.001604
6,640.33,0.95599,1.03665,0.97417,1,0.89937,0.97833,0.7254,0.85815,1.20787,0.98042,0.001505,0.001505,0.001505
7,743.45,0.97193,1.01787,0.99111,0.98695,0.8,0.95374,0.74246,0.77761,1.22891,0.94805,0.001406,0.001406,0.001406
8,908.402,0.91091,0.91438,0.97021,0.90283,1,0.98591,0.80774,0.76202,0.78769,0.89647,0.001307,0.001307,0.001307
9,1014.64,0.94547,0.90579,0.97881,0.99771,1,0.995,0.81986,0.74491,0.74887,0.93003,0.001208,0.001208,0.001208
10,1111.72,0.88622,0.82448,0.95037,0.99741,1,0.995,0.85684,0.66319,0.72076,0.88044,0.001109,0.001109,0.001109
11,1208.59,0.8349,0.90941,0.91624,0.98955,1,0.995,0.80588,0.72442,0.70633,0.90125,0.00101,0.00101,0.00101
12,1323.96,0.83368,0.86127,0.92585,0.99443,1,0.995,0.85732,0.65042,0.61107,0.86597,0.000911,0.000911,0.000911
13,1460.67,0.80443,0.81655,0.90904,0.99409,1,0.995,0.82877,0.63736,0.69221,0.88217,0.000812,0.000812,0.000812
14,1612.2,0.7881,0.76449,0.90574,0.99211,1,0.995,0.83837,0.62095,0.58967,0.86147,0.000713,0.000713,0.000713
