epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.4767,1.36686,1.88066,0.76667,2.28816,1.31132,0.89792,0.87971,0.9223,0.81227,0.97105,0.8388,0.96846,0.77338,0.5846,0.91025,0.50606,0.54326,0.87478,0.00197183,0.000657277,0.00197183,0.000657277,0.00197183,0.000657277,0.00197183,0.000657277
2,56.6014,0.73331,0.51277,0.50177,0.56456,0.9162,0.96594,0.975,0.9928,0.87364,0.96594,0.975,0.9928,0.94976,0.56148,0.29079,0.26184,0.36479,0.85937,0.00396397,0.00132132,0.00396397,0.00132132,0.00396397,0.00132132,0.00396397,0.00132132
3,75.0183,0.66888,0.23973,0.35065,0.45944,0.88497,0.97557,0.99857,0.99451,0.87018,0.97557,0.99857,0.99451,0.97052,0.59528,0.16943,0.14758,0.37871,0.84658,0.00594818,0.00198273,0.00594818,0.00198273,0.00594818,0.00198273,0.00594818,0.00198273
4,93.2435,0.66798,0.15946,0.27577,0.45752,0.88326,1,0.99784,0.995,0.86678,1,0.99784,0.995,0.99335,0.53749,0.08946,0.08892,0.34902,0.85665,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812
5,111.371,0.66534,0.13399,0.23623,0.44945,0.87393,0.99818,0.975,0.99202,0.88015,0.99818,0.975,0.99202,0.99055,0.539,0.09271,0.07862,0.3919,0.85499,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416
6,129.356,0.642,0.11631,0.22201,0.4374,0.87556,0.99813,0.975,0.99451,0.89263,0.99813,0.975,0.99451,0.99451,0.50974,0.0523,0.07138,0.36432,0.84939,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802
7,147.563,0.63814,0.0969,0.17798,0.41989,0.87564,0.97557,0.99847,0.99451,0.88704,0.97557,0.99847,0.99451,0.99451,0.52801,0.05474,0.04452,0.38302,0.85781,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624
8,165.596,0.61822,0.08093,0.15355,0.40612,0.86739,0.99743,0.975,0.99451,0.87259,0.99743,0.975,0.99451,0.99451,0.54289,0.04318,0.04435,0.38109,0.86578,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228
9,183.583,0.61495,0.07428,0.13249,0.40747,0.85857,0.9756,0.99941,0.99451,0.89757,0.9756,0.99941,0.99451,0.99451,0.50289,0.0422,0.03813,0.36308,0.85339,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
10,201.802,0.60036,0.07392,0.11202,0.39511,0.86161,1,0.9991,0.995,0.89812,1,0.9991,0.995,0.995,0.50903,0.04387,0.02342,0.35194,0.86158,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436
11,219.968,0.60724,0.07283,0.12211,0.40228,0.86925,0.99814,1,0.995,0.89357,0.99814,1,0.995,0.995,0.49963,0.0353,0.02427,0.33939,0.85478,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
12,237.946,0.57342,0.06644,0.1014,0.38201,0.86272,0.9988,1,0.995,0.88992,0.9988,1,0.995,0.995,0.49056,0.03955,0.02346,0.33077,0.85668,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644
13,255.556,0.56617,0.07247,0.09576,0.37774,0.85926,0.99855,1,0.995,0.89945,0.99855,1,0.995,0.99294,0.49385,0.04057,0.01532,0.30354,0.85512,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
