epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.7252,1.98069,2.18106,0.86929,3.98363,1.77303,0.414,0.61827,0.3682,0.24315,0.57682,0.75,0.69251,0.28945,1.21819,2.37758,0.8125,1.75263,1.17095,0.00168,0.00056,0.00168,0.00056,0.00168,0.00056,0.00168,0.00056
2,29.5832,1.02336,1.79848,0.7149,1.08447,1.08159,0.91158,0.8,0.88776,0.76605,0.94735,0.9,0.98085,0.66161,0.68323,1.46722,0.55596,0.71994,0.90566,0.00340307,0.00113436,0.00340307,0.00113436,0.00340307,0.00113436,0.00340307,0.00113436
3,37.8255,0.84075,0.95335,0.58417,0.69125,0.94706,0.92428,0.91563,0.96154,0.82624,0.90887,0.975,0.97098,0.7791,0.66647,0.73001,0.38339,0.50901,0.89688,0.00510892,0.00170297,0.00510892,0.00170297,0.00510892,0.00170297,0.00510892,0.00170297
4,45.7634,0.74776,0.54091,0.47156,0.58168,0.92867,0.92657,0.9465,0.98113,0.8441,0.92614,0.94052,0.97836,0.84904,0.67224,0.58696,0.29911,0.46141,0.90308,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,53.4567,0.78018,0.39673,0.45296,0.58248,0.92358,0.86304,0.975,0.95539,0.83247,0.86881,0.99346,0.95693,0.86998,0.64774,0.37925,0.28177,0.47065,0.89315,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,61.4025,0.73115,0.29525,0.40013,0.56776,0.91433,0.98867,0.95,0.98755,0.86571,0.98867,0.95,0.98861,0.93774,0.60239,0.26529,0.24549,0.45919,0.88449,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,69.0971,0.65929,0.27119,0.37696,0.52243,0.8795,0.99161,0.975,0.99239,0.86321,0.99161,0.975,0.99239,0.96994,0.60485,0.20352,0.21636,0.46668,0.87751,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,77.1483,0.67398,0.21315,0.37614,0.51297,0.89468,0.98984,0.975,0.9936,0.87391,0.98984,0.975,0.9936,0.98468,0.58979,0.16803,0.18544,0.39957,0.87472,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,85.0929,0.65194,0.19403,0.29758,0.47414,0.86573,0.99463,0.975,0.9936,0.86944,0.99463,0.975,0.9936,0.9936,0.60057,0.14293,0.16237,0.40575,0.86545,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,92.7745,0.68844,0.1599,0.2835,0.47243,0.87442,0.99575,0.975,0.9936,0.87227,0.99575,0.975,0.9936,0.9936,0.58326,0.12718,0.15218,0.37823,0.86128,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
