epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.0717,0.93346,0.66943,0.42857,1.00266,1.02182,0.99242,0.97101,0.99379,0.81188,0.98559,0.99109,0.99471,0.98508,0.70731,0.12907,0.09744,0.45995,0.88468,0.00995283,0.00331761,0.00995283,0.00331761,0.00995283,0.00331761,0.00995283,0.00331761
2,151.438,0.85761,0.19623,0.18343,0.62145,0.9373,0.94062,0.9183,0.96364,0.79127,0.94062,0.9183,0.97299,0.96074,0.68394,0.1385,0.07328,0.58469,0.88655,0.0199331,0.00664436,0.0199331,0.00664436,0.0199331,0.00664436,0.0199331,0.00664436
3,206.337,1.00016,0.20089,0.15268,0.7563,0.98606,0.91727,0.91304,0.95765,0.72398,0.87444,0.97101,0.96599,0.94639,0.81456,0.13084,0.05597,1.03343,0.9173,0.0298935,0.00996451,0.0298935,0.00996451,0.0298935,0.00996451,0.0298935,0.00996451
4,259.802,0.98737,0.16753,0.13882,0.69659,1.00233,0.936,0.95652,0.98217,0.77477,0.936,0.95652,0.98217,0.96957,0.79625,0.14316,0.04155,0.76056,0.95161,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,313.751,0.95411,0.16764,0.1316,0.67039,1.00663,0.99042,0.86957,0.94235,0.71015,0.99042,0.86957,0.95426,0.93447,0.94943,0.16817,0.05923,0.7171,1.05224,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,367.467,0.92346,0.15324,0.13587,0.63169,0.9953,0.92442,0.97101,0.96919,0.7794,0.92442,0.97101,0.97142,0.96016,0.81482,0.12168,0.02683,0.60854,0.93842,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,420.433,0.88786,0.13455,0.12568,0.6012,0.98238,0.98486,0.97101,0.98361,0.82702,0.99594,0.97101,0.98932,0.98386,0.73348,0.11718,0.03727,0.52716,0.92504,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,474.682,0.87191,0.13883,0.12181,0.57649,0.97477,0.9961,0.98551,0.99284,0.82583,0.9961,0.98551,0.99284,0.99058,0.68971,0.07808,0.09188,0.47955,0.90185,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,529.087,0.8452,0.12267,0.11552,0.55977,0.96359,0.95769,0.98415,0.99068,0.82698,0.95769,0.98415,0.99217,0.98736,0.69679,0.098,0.02569,0.50314,0.89445,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,583.024,0.82273,0.11138,0.10846,0.55242,0.96003,0.99626,0.95652,0.99056,0.84116,0.99626,0.95652,0.99056,0.98539,0.64959,0.08244,0.01537,0.4751,0.8843,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,636.698,0.79275,0.11716,0.11039,0.52972,0.94503,0.97889,0.98551,0.98853,0.83608,0.97889,0.98551,0.99415,0.9935,0.63866,0.0776,0.01247,0.44313,0.88704,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,690.719,0.80096,0.1096,0.09211,0.51208,0.94495,0.99717,0.98551,0.99373,0.85277,0.99717,0.98551,0.99373,0.99211,0.63147,0.06433,0.01767,0.4258,0.87827,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,745.244,0.77327,0.09321,0.10267,0.50051,0.95551,0.97019,0.95652,0.9874,0.8442,0.98513,0.97101,0.99417,0.98363,0.66105,0.10614,0.00889,0.44332,0.8902,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,799.01,0.75708,0.10297,0.09866,0.4966,0.94306,0.99724,0.98551,0.99352,0.84927,0.99724,0.98551,0.99352,0.9858,0.63055,0.13708,0.01755,0.39529,0.883,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,852.212,0.73911,0.09322,0.10176,0.48245,0.92884,0.99188,0.98551,0.99373,0.86181,0.99188,0.98551,0.99373,0.988,0.63547,0.0891,0.01426,0.41763,0.87953,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,906.071,0.73969,0.08539,0.08989,0.48396,0.933,0.98569,0.99804,0.99471,0.85912,0.98569,0.99804,0.99471,0.99381,0.61817,0.06437,0.01803,0.38715,0.87309,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,960.311,0.7344,0.08759,0.09503,0.4682,0.93026,0.9853,0.97101,0.98566,0.86038,0.99811,0.98551,0.99341,0.98657,0.5935,0.08949,0.00922,0.37937,0.87209,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1013.78,0.73689,0.08635,0.10311,0.47289,0.93685,1,0.98296,0.99472,0.86999,1,0.98296,0.99472,0.99368,0.58999,0.05279,0.0092,0.37175,0.8621,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
