epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2347,1.12065,0.67885,0.41307,1.34626,1.10825,0.90648,0.86957,0.92129,0.6939,0.97407,0.81691,0.95875,0.89861,0.89005,0.31699,0.17595,1.21757,0.9805,0.000658537,0.000658537,0.000658537
2,61.6068,1.03554,0.33154,0.25763,0.78162,1.04649,0.87688,0.84783,0.88965,0.6544,0.89937,0.86957,0.90389,0.84012,1.14681,0.51462,0.16787,1.19103,1.06921,0.00132356,0.00132356,0.00132356
3,80.2264,1.03418,0.29604,0.23998,0.80679,1.05445,0.74974,0.84783,0.86502,0.6428,0.75051,0.86957,0.88142,0.80328,0.98427,0.29792,0.16213,2.62363,0.98811,0.00198694,0.00198694,0.00198694
4,98.9857,1.09575,0.31567,0.19333,0.76308,1.06602,0.93682,0.76087,0.86877,0.62581,0.90488,0.78261,0.91652,0.88303,1.03255,0.32268,0.15868,1.14588,1.0107,0.00199257,0.00199257,0.00199257
5,117.584,1.00101,0.29582,0.20607,0.74782,1.01924,0.43488,0.78261,0.39714,0.30898,0.43488,0.78261,0.4106,0.40353,nan,nan,nan,nan,nan,0.0019901,0.0019901,0.0019901
6,136.335,0.99211,0.26835,0.18033,0.7353,1.03782,0.92064,0.86957,0.91754,0.68778,0.94366,0.8913,0.92872,0.9217,1.04368,0.23739,0.11888,1.67479,1.04514,0.00198762,0.00198762,0.00198762
7,155.407,1.00513,0.2811,0.19009,0.73618,1.04618,0.93501,0.9384,0.97977,0.74134,1,0.9433,0.98824,0.97383,0.93227,0.22857,0.12714,0.9838,0.97287,0.00198515,0.00198515,0.00198515
8,174.497,0.99546,0.249,0.18581,0.68865,1.02518,0.91885,0.91304,0.95682,0.73622,0.91885,0.91304,0.97,0.965,1.00152,0.19961,0.08766,0.71622,0.98023,0.00198268,0.00198268,0.00198268
9,193.661,0.91766,0.21618,0.15197,0.64585,0.99872,0.97749,0.94394,0.98591,0.79445,0.97749,0.94394,0.98591,0.98284,0.83996,0.14503,0.06876,0.58471,0.90655,0.0019802,0.0019802,0.0019802
10,212.758,0.90084,0.22499,0.16583,0.62575,1.00166,0.95344,0.97826,0.96956,0.78703,0.95344,0.97826,0.97826,0.97111,0.89118,0.20153,0.07675,0.60436,0.95797,0.00197773,0.00197773,0.00197773
11,231.473,0.88684,0.19856,0.1601,0.61789,0.99023,0.93735,0.95652,0.96484,0.8005,0.93735,0.95652,0.97638,0.97265,0.83685,0.12509,0.05525,0.69569,0.93569,0.00197525,0.00197525,0.00197525
12,250.237,0.87798,0.19907,0.14408,0.61351,0.98439,0.9965,0.95652,0.97689,0.80582,0.9965,0.95652,0.97941,0.96885,0.82408,0.15418,0.0457,0.69372,0.92316,0.00197277,0.00197277,0.00197277
13,269.808,0.82373,0.16985,0.13748,0.58179,0.96542,1,0.92412,0.97668,0.78864,1,0.92412,0.99019,0.98191,0.81592,0.18906,0.04311,0.6346,0.92114,0.0019703,0.0019703,0.0019703
14,288.569,0.85758,0.18139,0.16477,0.59622,0.98949,0.97869,0.99854,0.99415,0.82952,0.97869,0.99854,0.99415,0.98923,0.73589,0.16445,0.05015,0.55231,0.90184,0.00196782,0.00196782,0.00196782
15,307.571,0.84065,0.17758,0.14793,0.56678,0.95837,0.95149,0.95652,0.97745,0.81773,0.95602,0.94528,0.98133,0.97603,0.67803,0.12928,0.04951,0.6149,0.87029,0.00196535,0.00196535,0.00196535
16,326.24,0.81772,0.15572,0.13227,0.54842,0.97168,0.97652,0.95652,0.97501,0.82075,0.97652,0.95652,0.991,0.991,0.86852,0.11718,0.07906,0.58665,0.94656,0.00196287,0.00196287,0.00196287
17,344.944,0.82761,0.15225,0.13456,0.5524,0.96839,0.93637,0.97826,0.96754,0.80831,0.93729,0.97481,0.98834,0.98763,0.86123,0.09874,0.0535,0.68021,0.95201,0.0019604,0.0019604,0.0019604
18,363.701,0.81609,0.15105,0.1228,0.55217,0.95815,0.95932,0.95652,0.9736,0.83641,0.95932,0.95652,0.98275,0.97653,0.72892,0.11261,0.02526,0.54986,0.89208,0.00195793,0.00195793,0.00195793
