epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,146.884,0.78451,0.97727,1,0.07193,0.000405405,0.000405405,0.000405405
2,289.151,0.02769,0.98485,1,0.2607,0.000740687,0.000740687,0.000740687
3,430.103,0.01059,0.9697,1,0.02846,0.000993468,0.000993468,0.000993468
4,570.81,0.01224,1,1,0.04765,0.00087875,0.00087875,0.00087875
5,713.927,0.00466,1,1,0.00324,0.000755,0.000755,0.000755
6,858.096,0.00233,1,1,0.00092,0.00063125,0.00063125,0.00063125
7,1004.66,0.00163,0.99242,1,0.00433,0.0005075,0.0005075,0.0005075
8,1144.2,0.00056,1,1,0.00253,0.00038375,0.00038375,0.00038375
9,1282.77,0.00097,1,1,0.00028,0.00026,0.00026,0.00026
10,1421.89,0.0007,1,1,0.00026,0.00013625,0.00013625,0.00013625
